billing_date,client_id,service_code,resource_id,billable_hours,capacity_hours,bill_rate_gbp,amount_billed_gbp,cost_inr,status
10/06/2024,C005,SOC,R3268,126.2,161.4,42.00,"5,300.71","183,996",Draft
2024-05-28,C012,Soc,R6653,15.0,18.4,£42.00,630.19,"₹22,405",draft
"Nov 22, 2024",C001,aut,R1324,131.6,168.3,£52.00,"6,844.54","261,210",credit
16/08/2024,C001,Dev,R1282,175.2,225.7,£45.00,"£7,886.00","₹356,856",Credit
2024-10-10,C002,aut,R1810,153.7,184.5,£52.00,"7,992.10","305,713",credit
2024-04-21,C006,Cld ,R3754,79.0,98.2,48.00,"3,790.57","₹148,260",billed
2024.09.06,C002,hd ,R1785,508.4,595.5,22.00,"£11,185.07","413,640",draft
2024-06-17,C003,hd ,R2259,508.3,587.1,£22.00,"£11,183.29","410,194",Credit
2024-06-04,C005,AUT,R3274,46.4,58.9,£52.00,"£2,415.04","₹88,654",billed
2024-02-05,C012,ofp ,R6623,461.2,513.1,£16.00,"£7,378.55","₹298,485",draft
"Sep 8, 2024",C002,Ofp,R1800,316.5,374.5,GBP 16.00,"GBP 5,064.62","₹203,588",draft
17/04/2024,C001,soc ,R1222,254.2,317.9,£42.00,"10,677.73","₹378,803",billed
2024-11-03,C012,Dev,R6733,25.3,32.7,£45.00,"1,138.28","₹52,791",billed
10/08/2024,C003,aut,R2292,232.3,294.9,GBP 52.00,"£12,079.61","433,294",billed
"Sep 12, 2024",C006,Soc,R3823,102.4,null,£42.00,"£4,302.32","₹155,849",BILLED
11/02/2024,C005,Aut ,R3217,106.3,131.1,£52.00,"(£1,657.60)","214,190",Billed
20/09/2024,C007,Cld ,R4327,68.8,89.7,48.00,"£3,302.89","135,222",Draft
26/07/2024,C007,aut,R4306,92.7,115.4,£52.00,"4,822.31","175,624",billed
2024.08.05,C006,OFP,R3817,151.9,177.9,16.00,null,"₹103,257",billed
2024-02-16,C003,Soc,R2206,296.4,367.3,£42.00,"£12,450.32","431,171",Credit
06/05/2024,C006,Hd,R3763,482.3,554.4,22.00,"10,611.37","375,851",draft
2024-04-09,C012,hd ,R6638,265.3,314.2,£22.00,"5,836.00","₹213,497",billed
02/10/2024,C009,soc ,R5279,60.2,77.3,£42.00,"2,529.06","87,457",credit
07/12/2024,C007,AUT,R4373,52.1,66.9,NA,"2,708.49","₹100,309",billed
28/09/2024,C007,SOC,R4326,209.5,265.1,£42.00,"8,799.78","312,113",Draft
"Jun 19, 2024",C001,DEV,R1253,197.5,248.6,45.00,"£8,888.30","₹418,441",credit
18/12/2024,C001,AUT,R1335,198.2,247.7,52.00,"£10,307.35","INR 390,918",draft
"Dec 22, 2024",C008,noc,R4791,216.6,260.4,28.00,"6,063.56","₹226,917",Draft
"Nov 2, 2024",C011,OFP,R6268,134.3,152.8,16.00,"2,148.91","₹86,315",Billed
"Jul 25, 2024",C011,Cld ,R6212,25.3,31.1,48.00,"£1,216.26","₹49,544",Credit
2024.02.04,C011,OFP,R6156,193.2,225.2,£16.00,"3,091.13","₹131,445",BILLED
2024-05-13,C006,Noc ,R3764,392.9,481.1,£28.00,#N/A,"414,427",draft
"Jan 21, 2024",C008,AUT,R4643,25.1,31.3,£52.00,"£1,304.01","₹48,221",BILLED
2024-07-16,C003,AUT,R2279,n/a,349.4,£52.00,"14,984.28","₹555,979",billed
"Sep 7, 2024",C011,noc,R6235,65.5,79.7,£28.00,"£1,834.77","71,684",credit
2024-05-01,C008,Hd,R4691,318.6,373.0,£22.00,"7,008.40","₹259,926",BILLED
"Jul 19, 2024",C009,NOC,R5238,157.1,194.4,GBP 28.00,"4,400.18","164,578",billed
2024.07.11,C008,OFP,R4731,205.3,240.0,£16.00,"£3,285.00","₹129,032",BILLED
2024-10-09,C005,Cld ,R3331,131.3,161.8,48.00,"£6,302.81","₹255,784",Billed
27/05/2024,C009,Cld ,R5213,53.4,,£48.00,"2,563.29","₹102,356",credit
"Dec 23, 2024",C011,AUT,R6283,16.5,21.2,GBP 52.00,£857.72,n/a,Draft
25/11/2024,C004,noc,R2828,347.1,425.0,£28.00,"£9,718.69","INR 361,332",Credit
2024-10-16,C012, HD,R6711,189.8,219.3,GBP 22.00,"4,176.16","INR 159,049",billed
2024.07.25,C001,NOC,R1262,344.0,428.3,£28.00,"9,631.55","₹368,788",Billed
2024.04.17,C007,Soc,R4254,59.8,72.0,GBP 42.00,"2,512.67","₹86,777",Billed
2024-07-02,C007,Soc,R4300,140.8,182.0,42.00,"GBP 5,915.55","208,443",billed
23/09/2024,C008,AUT,R4760,21.3,26.7,52.00,"£1,109.60","40,647",Billed
26/04/2024,C002,Aut ,R1731,119.7,150.2,GBP 52.00,"£6,222.23","₹231,277",draft
2024-03-22,C004,aut,R2721,76.0,94.7,52.00,,"₹143,988",Billed
18/12/2024,C004,SOC,R2846,286.7,NA,£42.00,"£12,043.35","₹421,752",credit
2024-04-04,C004,NOC,R2725,456.0,563.7,28.00,"£12,767.21","486,277",credit
2024-03-08,C011,aut,R6163,5.3,6.7,52.00,£277.31,"₹10,085",Billed
2024-01-03,C007,ofp ,R4218,214.9,241.3,16.00,"3,439.17","138,731",Billed
"Jun 15, 2024",C005,cld,R3270,120.3,151.8,£48.00,"5,775.88","235,399",Billed
2024-03-28,C001,Noc ,R1203,304.6,368.2,28.00,"£8,529.96","330,293",Draft
2024-04-27,C001,soc ,R1223,308.4,385.7,£42.00,"12,954.89","453,254",Billed
