billing_date,client_id,service_code,resource_id,billable_hours,capacity_hours,bill_rate_gbp,amount_billed_gbp,cost_inr,status
2025-11-25,C008,Hd,R4954,703.5,830.6,GBP 22.00,"15,476.32","569,940",Credit
"May 11, 2025",C006,SOC,R3942,150.3,184.8,GBP 42.00,"6,313.74","224,557",BILLED
2025-08-26,C001,aut,R1449,190.5,240.4,£52.00,"£9,904.20","₹376,663",BILLED
21/02/2025,C011,DEV,R6308,17.1,22.1,£45.00,£769.15,"36,675",Billed
2025-07-03,C007,OFP,R4460,173.6,202.4,16.00,"GBP 2,777.61","₹115,438",billed
"Jul 4, 2025",C005,dev ,R3459,96.3,117.4,45.00,"4,334.56","206,643",Billed
2025-12-19,C008,noc,R4971,194.1,244.2,28.00,"(£1,630.32)","206,637",billed
25/05/2025,C008,hd ,R4858,629.6,747.5,22.00,null,"₹489,186",Draft
2025-08-07,C999,Ofp,R5917,135.3,159.0,£16.00,"£2,165.25","₹90,256",BILLED
2025.01.02,C002,noc,R1847,357.4,430.4,28.00,"10,006.96","₹382,251",BILLED
2025.05.04,C009,Ofp,R5389,178.2,209.3,£16.00,"£2,850.65","114,105",Billed
19/11/2025,C009,CLD,R5470,96.4,128.8,£48.00,"£4,626.02","₹183,057",Credit
2025-09-02,C002,noc,R1960,570.2,703.1,£28.00,"(4,789.55)","611,092",billed
"Feb 24, 2025",C005,OFP,R3392,260.6,305.0,£16.00,"£4,169.05","177,602",credit
2025-12-22,C010,soc ,R5965,28.8,36.2,£42.00,"1,210.27","41,261",Credit
2025.12.08,C005,AUT,R3532,90.6,109.6,£52.00,"£4,711.17","₹175,858",BILLED
2025-05-11,C002,SOC,R1905,557.8,700.3,42.00,"23,428.92","₹801,166",BILLED
"Apr 16, 2025",C001,Soc,R1385,436.1,535.2,£42.00,"£18,317.57","660,762",Billed
05/05/2025,C001, HD,R1394,919.5,1077.1,22.00,"£20,229.28","732,344",billed
2025-07-23,C012,SOC,R6828,17.0,21.4,£42.00,713.50,"₹25,645",credit
"Dec 28, 2025",C002,Dev,R2011,468.3,597.9,£45.00,"21,074.13","987,324",credit
2025.05.22,C005,Ofp,R3434,385.9,436.2,16.00,"6,175.09","254,318",Credit
2025.08.18,C012,CLD,R6843,19.6,24.4,£48.00,-,"38,459",billed
2025-12-20,C005,Soc,R3528,103.8,138.0,GBP 42.00,"£4,360.99","₹153,569",credit
2025.06.04,C004,aut,R2941,139.3,181.1,52.00,"7,245.22","INR 266,987",Billed
2025.08.17,C004,Noc ,R2958,355.3,421.0,28.00,"£9,947.48","382,379",credit
2025-12-25,C006,DEV,R4038,131.0,173.1,45.00,"5,895.15","INR 274,903",Billed
"Jul 4, 2025",C002,Hd,R1929,884.9,1022.4,22.00,"£19,468.81","₹736,842",credit
"Sep 2, 2025",C010,CLD,R5926,18.9,24.0,£48.00,£907.14,"₹35,750",BILLED
2025-11-06,C012,OFP,R6890,185.6,221.6,16.00,"£2,969.11","₹120,469",billed
2025-12-07,C008,noc,R4972,205.2,258.2,£28.00,"5,744.90","₹226,517",draft
2025-05-23,C008,Aut ,R4871,40.2,49.8,null,"£2,089.62","75,673",Draft
"Oct 5, 2025",C008,DEV,R4947,168.3,214.8,£45.00,"£7,573.40","358,336",Draft
24/07/2025,C005,Ofp,R3462,848.7,990.3,16.00,#N/A,"₹530,514",credit
19/06/2025,C007,AUT,R4445,30.9,39.4,GBP 52.00,"1,604.82","62,876",draft
2025-11-05,C009,noc,R5464,352.5,435.1,£28.00,"£9,870.04","377,369",billed
2025-09-01,C012,soc ,R6854,43.6,54.8,£42.00,"£1,830.64","66,210",Draft
"Aug 20, 2025",C010,Noc ,R5909,52.0,62.8,28.00,"GBP 1,456.82","55,017",Credit
2025.11.25,C009,SOC,R5467,95.0,121.9,£42.00,"£3,990.19","₹138,962",credit
2025.03.12,C001, HD,R1368,972.6,1138.0,£22.00,"21,396.18","₹806,422",BILLED
2025-08-09,C006,OFP,R3987,176.5,209.0,16.00,error,"116,144",credit
2025-09-12,C012,Hd,R6850,267.0,307.3,22.00,"5,873.73","220,333",draft
2025-09-01,C006,dev ,R3995,74.4,93.5,£45.00,"£3,348.24","154,393",Billed
2025-01-25,C003,Soc,R2353,257.3,318.6,£42.00,"10,806.93","₹367,422",billed
12/05/2025,C009,Hd,R5374,538.9,625.2,£22.00,"£11,854.78","436,156",BILLED
16/03/2025,C004,Ofp,R2908,251.9,291.0,16.00,#N/A,"159,517",BILLED
02/03/2025,C004,Soc,R2899,544.6,681.3,42.00,"22,874.68","₹818,365",draft
2025-09-16,C002,soc ,R1963,520.3,627.7,£42.00,"£21,853.52","767,471",Credit
2025.09.12,C009,noc,R5436,297.8,341.0,£28.00,"8,337.09","322,357",billed
2025.12.01,C009,noc,R5480,291.2,345.9,£28.00,"£8,153.51","302,131",Draft
"Jun 9, 2025",C004,Noc ,R2935,548.8,659.3,£28.00,"£15,365.65","576,636",billed
2025-03-09,C012,cld,R6778,30.0,38.6,48.00,"£1,440.87","INR 57,588",BILLED
2025-08-03,C006,aut,R3984,null,32.5,-,"1,381.39","INR 51,316",credit
07/09/2025,C001,SOC,R1455,370.4,466.5,42.00,"15,555.93","₹545,147",credit
2025-06-20,C999,Ofp,R4448,464.0,n/a,16.00,"7,424.09","₹313,482",billed
2025-08-13,C005,soc ,R3468,116.9,143.2,42.00,"(GBP 1,472.72)","₹173,779",draft
2025-01-13,C999,Cld ,R3885,143.1,193.2,GBP 48.00,"(£2,060.43)","265,450",Billed
2025.11.20,C999,soc ,R6878,14.5,17.6,42.00,£607.73,"20,963",Credit
05/06/2025,C004,DEV,R2939,538.3,690.9,GBP 45.00,"£24,222.12","₹1,128,194",Credit
2025-12-23,C011,NOC,R6447,188.0,227.4,£28.00,"£5,262.88","₹202,681",Billed
"May 1, 2025",C006,Hd,R3936,370.7,450.1,22.00,"£8,155.16","₹292,531",Draft
2025.06.28,C008,Soc,R4878,92.5,117.4,£42.00,"£3,883.25","138,864",draft
"Jul 28, 2025",C009,ofp ,R5419,610.7,720.1,16.00,"£9,770.69","₹401,487",Billed
22/06/2025,C002,HD,R1914,561.3,678.2,£22.00,"(£3,704.56)","₹449,803",draft
"Aug 25, 2025",C012,NOC,R6838,67.9,77.8,GBP 28.00,"1,901.18","73,604",Billed
12/02/2025,C004,ofp ,R2889,242.3,279.7,£16.00,"3,876.51","162,280",BILLED
26/06/2025,C003,noc,R2424,-,593.3,£28.00,"13,738.23","₹522,652",credit
2025-08-08,C001,SOC,R1444,352.9,432.0,£42.00,"£14,823.54","₹518,667",Credit
2025.01.08,C004,HD,R2861,573.0,687.9,£22.00,"£12,605.48","₹462,443",billed
"Jun 22, 2025",C010,dev ,R5886,22.6,29.0,£45.00,"1,017.85","₹46,826",Credit
2025-09-07,C002,AUT,R1968,190.9,243.1,£52.00,"9,927.18","INR 353,523",Draft
"Feb 16, 2025",C011,Cld ,R6304,21.6,25.7,£48.00,"£1,037.92","₹40,494",Billed
"May 14, 2025",C005,cld,R3428,192.6,239.8,48.00,"9,244.47","₹383,848",Credit
14/02/2025,C008,DEV,R4823,130.8,165.8,45.00,"GBP 5,885.16","₹269,293",Draft
2025-03-27,C012,Soc,R6776,13.9,16.5,£42.00,GBP 582.73,"20,058",billed
"May 19, 2025",C009,aut,R5386,37.4,47.5,null,(583.20),"71,727",credit
2025-10-17,C008, HD,R4936,677.6,772.3,22.00,"£14,908.02","₹558,666",credit
2025.08.04,C001,hd ,R1439,745.5,843.4,22.00,"£16,401.57","₹612,267",BILLED
21/03/2025,C008,Cld ,R4836,130.1,163.0,null,"6,246.93","₹249,212",Draft
2025-08-24,C006,AUT,R3985,27.7,33.9,GBP 52.00,"£1,439.66","53,315",billed
09/04/2025,C003,ofp ,R2403,250.2,293.9,£16.00,,"₹164,859",Draft
2025.07.04,C002,AUT,R1941,418.4,537.2,£52.00,"(6,526.52)","₹790,852",Credit
2025-02-05,C007,OFP,R4399,259.5,300.5,16.00,"4,151.52","166,900",credit
"Oct 9, 2025",C012,aut,R6868,18.4,23.5,52.00,£958.39,"INR 35,538",Draft
"Jan 8, 2025",C007,ofp ,R4387,189.2,225.2,£16.00,"£3,026.57","122,302",billed
"Jul 15, 2025",C002,Soc,R1935,387.1,462.5,£42.00,"16,256.79","₹547,506",credit
12/11/2025,C001,aut,R1499,190.9,239.3,£52.00,"£9,926.14","367,429",billed
2025-05-09,C009,CLD,R5382,102.2,129.1,48.00,"4,907.17","198,702",Credit
2025-11-22,C002,Aut ,R1997,135.7,176.4,£52.00,"7,058.00","₹267,737",Draft
2025-08-26,C002,Cld ,R1948,187.4,245.2,£48.00,"8,995.96","370,634",credit
2025-11-28,C012,hd ,R6874,156.4,191.4,£22.00,"3,440.26","124,077",credit
2025.12.06,C002,CLD,R2009,185.6,240.0,£48.00,"£8,909.12","INR 358,751",BILLED
"Feb 4, 2025",C999,Soc,R3384,107.0,131.1,GBP 42.00,"4,495.93","158,443",billed
2025-10-07,C001,HD,R1468,777.5,900.3,£22.00,"£17,106.04","629,398",Billed
2025-05-05,C009,AUT,R5387,35.8,45.5,£52.00,"1,860.06","69,569",Draft
01/05/2025,C999,Dev,R6807,15.7,20.4,-,£708.10,"₹32,419",Credit
19/08/2025,C005,SOC,R3467,115.9,142.0,£42.00,"4,868.44","₹163,559",credit
2025-12-22,C011,Dev,R6455,17.2,22.6,45.00,775.06,"35,487",credit
22/11/2025,C002,aut,R1996,144.4,187.7,null,"7,510.20","280,259",Credit
2025-07-05,C006,soc ,R3965,134.1,172.9,,"£5,631.75","INR 195,539",Billed
2025-07-15,C010,AUT,R5900,10.7,12.8,52.00,£556.38,"₹20,939",Draft
"Apr 19, 2025",C007,Dev,R4418,79.3,102.5,£45.00,"£3,567.74","₹165,690",BILLED
2025.05.27,C011,soc ,R6345,18.1,21.8,42.00,759.69,"₹26,792",BILLED
"Jun 21, 2025",C002,AUT,R1924,430.0,521.9,52.00,"22,361.58","INR 811,140",credit
"Nov 16, 2025",C005,CLD,R3514,131.9,167.5,48.00,"6,331.49","265,258",Billed
"Jan 5, 2025",C005,Noc ,R3365,230.2,272.1,£28.00,"£6,444.79","INR 247,830",Billed
"Dec 16, 2025",C001,ofp ,R1516,835.2,965.2,16.00,"£13,362.58","₹533,435",Draft
2025-06-08,C010,hd ,R5880,238.5,291.8,22.00,"£5,247.42","201,118",Billed
11/02/2025,C999,CLD,R5832,22.7,27.8,£48.00,"£1,091.48","₹45,964",billed
02/12/2025,C009,NOC,R5481,327.8,389.3,£28.00,"9,177.52","INR 353,698",draft
2025-11-20,C012,hd ,R6872,185.4,226.9,22.00,"4,079.31","₹152,563",BILLED
"Nov 21, 2025",C008,Ofp,R4965,184.0,217.4,£16.00,"2,943.48",NA,billed
2025-11-12,C006, HD,R4017,366.0,445.8,£22.00,"8,052.98","289,045",Billed
06/08/2025,C003,Aut ,R2455,326.0,408.9,52.00,"£16,949.84","₹610,519",draft
08/05/2025,C012,HD,R6799,240.8,280.8,£22.00,"5,298.31","₹195,380",Billed
"Aug 11, 2025",C001,CLD,R1445,664.1,851.8,NA,"£31,876.51","INR 1,294,466",Billed
2025.08.18,C002,Noc ,R1946,375.5,446.3,28.00,"(£3,154.11)","395,402",billed
2025-03-23,C011,cld,R6320,29.4,36.3,48.00,"1,410.97","56,536",credit
2025.08.12,C008,Ofp,R4915,155.0,173.6,16.00,"GBP 2,479.41","₹101,719",Billed
13/10/2025,C008,Cld ,R4944,102.0,125.1,£48.00,n/a,"₹193,969",Credit
"May 12, 2025",C009,noc,R5377,300.9,370.2,28.00,"£8,424.20","₹317,602",billed
2025.09.20,C008,dev ,R4929,108.7,142.9,45.00,"£4,892.54","₹228,296",Credit
2025-06-08,C005,Dev,R3443,115.5,142.9,45.00,"£5,199.21","₹242,564",Credit
2025-09-12,C004,DEV,R2979,161.3,218.9,£45.00,"£7,257.94","338,493",Billed
2025-09-23,C009,aut,R5442,48.4,61.5,52.00,"GBP 2,517.57","94,059",billed
2025.03.21,C010,dev ,R5845,16.7,21.2,£45.00,£750.09,"₹34,819",billed
2025.05.18,C003,Noc ,R2408,274.7,326.5,£28.00,"7,691.63","294,659",Credit
2025.06.12,C002,Ofp,R1926,270.1,316.5,£16.00,"4,321.73","₹173,778",BILLED
2025.08.25,C001,dev ,R1447,145.2,193.0,£45.00,"£6,532.32","306,436",billed
